Dong Code,Data
a1,1
a2,1
a3,1
a4,1
a5,1
a6,1
a7,1
a8,1
a9,1
a10,1
a11,1
a12,1
a13,1
a14,1
a15,1
a16,1
a17,1
a18,1
a19,1
a20,1
a21,1
a22,1
a23,1
a24,1
a25,1
a26,1
a27,1
a28,1
a29,1
a30,1
a31,1
a32,1
a33,1
a34,1
a35,1
a36,1
a37,1
a38,1
a39,1
a40,1
a41,1
a42,1
a43,1
a44,1
a45,1
a46,91
a47,1
a48,81
a49,1
a50,1
a51,1
a52,1
a53,1
a54,1
a55,1
a56,1
a57,1
a58,1
a59,91
a60,1
a61,1
a62,1
a63,91
a64,91
a65,91
a66,81
a67,1
a68,91
a69,1
a70,1
a71,1
a72,1
a73,1
a74,1
a75,1
a76,1
a77,1
a78,1
a79,1
a80,1
a81,1
a82,91
a83,91
a84,1
a85,1
a86,1
a87,1
a88,1
a89,1
a90,1
a91,101
a92,1
a93,1
a94,1
a95,1
a96,1
a97,1
a98,1
a99,1
a100,1
a101,1
a102,1
a103,1
a104,1
a105,1
a106,1
a107,1
a108,101
a109,1
a110,1
a111,1
a112,1
a113,1
a114,1
a115,1
a116,1
a117,1
a118,1
a119,101
a120,1
a121,1
a122,1
a123,1
a124,1
a125,1
a126,1
a127,1
a128,1
a129,1
a130,1
a131,1
a132,1
a133,1
a134,1
a135,1
a136,1
a137,1
a138,91
a139,1
a140,1
a141,1
a142,1
a143,1
a144,1
a145,1
a146,1
a147,81
a148,81
a149,1
a150,1
a151,81
a152,1
a153,1
a154,1
a155,1
a156,1
a157,1
a158,1
a159,1
a160,1
a161,91
a162,1
a163,1
a164,1
a165,1
a166,1
a167,1
a168,1
a169,1
a170,1
a171,1
a172,1
a173,1
a174,1
a175,1
a176,1
a177,1
a178,1
a179,1
a180,1
a181,1
a182,1
a183,1
a184,1
a185,1
a186,1
a187,1
a188,1
a189,1
a190,1
a191,1
a192,1
a193,1
a194,1
a195,1
a196,1
a197,1
a198,1
a199,1
a200,1
a201,1
a202,1
a203,1
a204,101
a205,1
a206,1
a207,1
a208,1
a209,1
a210,1
a211,1
a212,1
a213,91
a214,1
a215,1
a216,1
a217,1
a218,1
a219,101
a220,1
a221,1
a222,1
a223,1
a224,1
a225,1
a226,1
a227,1
a228,1
a229,1
a230,1
a231,1
a232,1
a233,1
a234,1
a235,1
a236,1
a237,1
a238,1
a239,1
a240,1
a241,1
a242,1
a243,1
a244,1
a245,1
a246,1
a247,1
a248,1
a249,1
a250,1
a251,1
a252,1
a253,1
a254,1
a255,1
a256,1
a257,1
a258,1
a259,1
a260,1
a261,1
a262,1
a263,101
a264,81
a265,1
a266,81
a267,1
a268,1
a269,1
a270,1
a271,1
a272,1
a273,1
a274,1
a275,1
a276,1
a277,1
a278,1
a279,1
a280,1
a281,1
a282,1
a283,1
a284,1
a285,1
a286,101
a287,1
a288,1
a289,1
a290,1
a291,1
a292,1
a293,1
a294,1
a295,1
a296,101
a297,81
a298,1
a299,1
a300,1
a301,1
a302,1
a303,1
a304,1
a305,1
a306,1
a307,101
a308,1
a309,1
a310,1
a311,101
a312,1
a313,1
a314,1
a315,1
a316,1
a317,1
a318,1
a319,1
a320,1
a321,1
a322,1
a323,1
a324,1
a325,1
a326,1
a327,1
a328,1
a329,1
a330,1
a331,1
a332,1
a333,1
a334,1
a335,1
a336,1
a337,1
a338,1
a339,1
a340,1
a341,1
a342,1
a343,101
a344,1
a345,1
a346,1
a347,1
a348,1
a349,1
a350,1
a351,1
a352,1
a353,1
a354,1
a355,1
a356,1
a357,101
a358,101
a359,1
a360,1
a361,1
a362,1
a363,1
a364,91
a365,1
a366,1
a367,1
a368,1
a369,1
a370,1
a371,1
a372,1
a373,101
a374,1
a375,1
a376,1
a377,1
a378,1
a379,1
a380,1
a381,1
a382,1
a383,1
a384,1
a385,1
a386,1
a387,1
a388,1
a389,1
a390,1
a391,1
a392,1
a393,1
a394,1
a395,1
a396,1
a397,1
a398,1
a399,1
a400,1
a401,1
a402,101
a403,1
a404,1
a405,1
a406,1
a407,1
a408,1
a409,1
a410,1
a411,81
a412,81
a413,81
a414,81
a415,1
a416,1
a417,1
a418,1
a419,1
a420,1
a421,1
a422,1
a423,1
